Index,Term,Definition
4630,hutu,Louse; lice (insect); seed--breadfruit.
4631,huyong,Get out; outside; bring out; emerge.
4632,huyong,Effect; outcome.
4633,Huño,noun. June (month). Also Hunio.
4634,i,Referential focus marker. (suffix)
4635,i,The (definite article). Focus marking particle.
4636,i,I--letter.
4637,i'e',Type of fish--family carangidae. Baby skipjack
4638,i'isao,Sinner; one who commits sin.
4639,iba',Puckered lips; puckering of lips--as when about to cry.
4640,ibba',Type of plant--phyllanthus acidus. Type of tree-fruit grows on trunk or branches. Fruit has a sour taste that caused the lips to pucker up.
4641,ibidensa,Evidence; proof; facts.
4642,idåt,Age+ n40ber 6f years.
4643,idea,Idea; notion; belief.
4644,identifika,Identify; make; prove to be; consider as.
4645,idioma,Idiom; the distinctive characteristic of a language.
4646,idolatria,Idolotry.
4647,idolu,Idol.
4648,ifek,Type of tree--intsia bijuga. Also called ifet.
4649,ifet,Type of tree--intsia bijuga. A very hard and heavy wood resembling black walnut in color. Also called ifek.
4650,igi,Defeat; overcome; beat; vanquish; surpass; overpower.
4651,iha,noun. Daughter (form of address)
4652,ihu,noun. Son. (form of address)
4653,ika,Donation; gift--given to the family of a deceased person. The receiving of ika carries with it an obligation that the recipient will reciprocate to the donor at a later date.
4654,ikak,Defeat; beat--in a race; finish first.
4655,iknora,Ignore.
4656,iknorånsia,Ignorance.
4657,iknorånte,Ignorant; illiterate; unlettered; untutored; unlearned.
4658,ilao,Look for; search. 
4659,ilegåt,Illegal.
4660,ilehitimu,Illigitimate.
4661,ilek-,Say; said. Used with a possessive suffix. From ålok.
4662,ilihi,Elect; designate for office by a majority or pluratily vote; select; choose; appoint; pick out.
4663,ilotes,"Type of food. Sweet corn, boiled with coconut milk."
4664,ilotes,Green corn;sweet corn as used for corn-on-the-cob.
4665,imåhen,Image; statue.
4666,imåhina,Imagine.
4667,imåhinasion,Imagination.
4668,imbension,Invention.
4669,imbenta,Invent; contrive something new; create.
4670,imbentadot,Inventor.
4671,imbentibu,Inventive; creative.
4672,imbentot,Inventor.
4673,imbestiga,Investigate; probe; search; examine closely; inquire; scan; sift.
4674,imbestigadot,Investigator; examiner; prober.
4675,imbestigasion,Investigation; active effort to find out something.
4676,imbita,Invite.
4677,imidiåtamente,Immediately.
4678,imigrånte,Immigrant.
4679,imitasion,Immitation.
4680,impedimento,Impediment; obstruction; obstacle; hindrance (of marriage); barrier.
4681,imperio,Empire.
4682,impetinente,Impertinent.
4683,impetosa,"Impetuous, furious, impulsive, or vehement in action or feeling; violent; short tempered. (male)"
4684,impetosu,"Impetuous, furious, impulsive, or vehement in action or feeling; violent; short tempered. (female)"
4685,impeña,Mortgage; pledge.
4686,impolitiku,Impolite; wanting in good maners; boorish; coarse.
4687,impone,To lay on; to apply; to impose.
4688,imposipble,Impossible; improbable; cannot be done.
4689,impotente,Impotent.
4690,impotta,Import; bring into a country from abroad.
4691,impottånte,Important; essential; necessary; vital.
4692,imprenta,Imprint; impress; mark made by pressure; fix indelibly as in a memory.
4693,impresa,Impress.
4694,impresot,Compositor; printer.
4695,imprudensia,Imprudent; hedless of consequences.
4696,impuesto,Excise; duty; tribute; impost; tax.
4697,in,"Adjectivizing infix--used to form modifires from nominals, similar to English -ish. Guaka ""cow"", guinaka ""cowish"". Å'påka' ""white"", ina'påka' ""whitish"". Kåhet ""orange"", kinahet ""orangish""."
4698,in,"Nominalizing infix. Li'e' ""to see"", lini'e'-ña ""The thing he saw."" Nå'I ""to give"", nina'I ""gift (thing that is given)."""
4699,in,Goal focus infix. 
4700,in ,"We--exclusive, pre-posed pronoun used in transitive statements."
4701,ina,Illuminate; spot with light; shine on.
4702,ina'gang,Loudness; noise.
4703,ina'go,Change; alteration.
4704,ina'påka',Whitish; containing white color.
4705,ina'påka'an,Whiteness; whitish.
4706,inabak,Misunderstanding; error; puzzled.
4707,inabale',Intercourse.
4708,inachago',Distance.
4709,inachatli'e',Hatred; hate; resentment; ruthlessness; the feeling of one who hates.
4710,inadamelong,Sphere; globe.
4711,inadayao,Arouse interest; become interested.
4712,inadelånta,Improvement.
4713,inadingan,Elocution; art or manner of speaking.
4714,inadingu,Parting; fare-well; good-bye; withdrawal; departure.
4715,inaflitu,Fried; a dish of anything fried.
4716,inagaga',Reddish; containing red color.
4717,inagang,Call for; call to.
4718,inagofli'e',Friendship; brotherhood; kindness; sympathy; association as friends; friendly relations.
4719,inagradesi,Reward; recompense; gratitude.
4720,inagua',A long step; stride.
4721,inaguaguat,General row or tussle; controversy; strife.
4722,inakka',Sting.
4723,inakomprende,Concord; agreement.
4724,inakpa'an,Food--from the day before.
4725,inakpa'ña,Day after tomorrow. Also nakpa'ña and agupa'-ña.
4726,inaksepta,Accepted; recieved.
4727,inale',Misfortune; destruction; insult; make mistake.
4728,inalula,Swiftness; hurriedness.
4729,inamariyu,Yellowish; containing yellow color.
4730,inamte,Cured.
4731,inamte,Parson; clergyman.
4732,inamuråda,Enamor; one who is enamored; inspire with ardent love; excite love. (female)
4733,inamurådu,Enamor; one who is enamored; inspire with ardent love; excite love. (male)
4734,inanåkko',Length.
4735,inancho,Width.
4736,inanglo',Dried; anything that is dried.
4737,inanokcha',Report; account.
4738,inaogarasion,Inauguration.
4739,inapigasa,Condition of having goose pimples.
4740,inapmam,Stay so long; delayed so long.
4741,inapplacha',Refuse; excrement; pollution.
4742,inapu,Having ashes.
4743,inapu na kalot,Grayish; containing gray color.
4744,inapulaihan,Moldy--cause to be; moldy--become.
4745,Inarajan,Village in southern Guam. Pronounced Inalåhån.
4746,inarekkla,Method; system; order; controlled.
4747,inasa,Blown away.
4748,inasåhan,Fruit--that ripens on tree before harvesting: ripe banana--still on the tree.
4749,inasi'i,Pardon; forgiveness; absolutino.
4750,inasigayan,Salt--streak forming on the body from dried perspiration.
4751,inasigura,Security; warranty; bail.
4752,inasne,"Pickled; something salted, treated, seasoned, or filled with salt."
4753,inasut,Blusih; containing blue color.
4754,inatan,Glance; something seen.
4755,inatattiyi,Line; row; series.
4756,inatborota,Insurrection; uprising; rebellion; disturbed; bothered.
4757,inatditi,Oppressed; depressed; made worse.
4758,inattilong,Blackish; containing black color; blackness.
4759,inatua,Referes to highest class in earlier Chamorro society.
4760,inatungo',Friendliness; pleasantness.
4761,inayek,Choice; selection; option.
4762,indefinitu,Indefinite.
4763,independiente,Independent; self-supporting.
4764,indiana,Cloth--with striped or checkered pattern.
4765,indiferente,Indifferent; listless.
4766,indika,Indicate; denote; show; manifest; designate.
4767,indikasion,Indication; signifying; showing.
4768,indirekto,Indirect; not straight.
4769,indothensia,Indulgence; sufferance; tolerance; forbearance; compassion.
4770,indulensia,Indulgence; sufferance; tolerance; forbearance; compassion.
4771,industria,Industry.
4772,inechong,Wrong; fault; injustice.
4773,inefresi,Offering; promise; proposal; proposition.
4774,inenkåtga,Arrangement; management; an order--as from restaurant or catalogue.
4775,inentalu'i,Intermission; pause; interruption; interference.
4776,inesgaihon,Escorting; accompanying; haunted person--whose health may be affected or endangered.
4777,inestila,Liquor--distilled from bananas or other sources.
4778,inestukon,Brine; pickling solution; something pickled.
4779,inetnon,Association; club; group; league; corporation; crowd.
4780,ineyak,Education.
4781,infeksion,Infection.
4782,infelis,Unhappy; unfortunate.
4783,infiet,Doubting; sceptical; suspicious; unbelieving; free thinking; lacking faith.
4784,infietno,Hell; abyss.
4785,infin,"phrase. in case, in the event, at the end, anyway. "
4786,infotma,Inform; acquaint; apprise; notify.
4787,infotmasion,Information; message.
4788,ingglera,Row; a series of inanimate objects set in a row.
4789,inggratu,Ungrateful; thankless.
4790,ingguente,noun. ointment; salve; unguent.
4791,inhuestisia,Injustice; oppression.
4792,inhuria,Revile; reproach.
4793,ini,This (demonstrative pronoun). Archaic form now mostly replaced by este.
4794,inifok,"Type of plant--chrysopogon aciculatus. Type of grass, burr; stickerburr."
4795,iniga,Caress.
4796,inigas,Type of starch--made fom tapioca or arrowroot.
4797,inigo',Envy; jealousy.
4798,inigong,Moaning; lamentation; mourning.
4799,iniho',Thrift.
4800,inina,"noun. light; gleam; glimmer.
"
4801,ininan åtdao,Sunlight.
4802,iningak,Sag; sink down; yield.
4803,inkahi,"Snag; become entangled; catch (by an obstruction); hook; lace trim, especially on women's underclothes."
4804,inkilinåtu,Leasehold; property held by lease.
4805,inklinao,Inclination.
4806,inkombinensia,Inconvenience; trouble; worry; disadvantage; fuss; annoyed with trifles.
4807,inkombiniente,Inconvenient; troublesome.
4808,inkuråble,Incurable.
4809,inmottat,Immortal; imperishable; deathless; ever living.
4810,inoru na kulot,Goldish; containing gold color.
4811,inos,Capable of squeezing through a hole; to fit in a place. Exact size for for fitting or squeezing into a hole or place; capable of being squeezed or fitted into a tight place.
4812,inosente,Innocent; not guilty; guileless; ignorant; naive; simple.
4813,insensio,Frankincense; fragrant gum resin.
4814,insepåråble,Inseparable.
4815,insigidas,Immediately; promptly; at once; hurry up; quick; right away; as soon as possible.
4816,insima,Intensify; enhance--especially feelings and emotions.
4817,insinahyao,Walking briskly.
4818,insiste,Insist; urge; persist; demand--persistently.
4819,inspekta,Inspect; inspector.
4820,instituyi,Institute; begin something.
4821,instrumento,Instrument.
4822,insutta,Insult; mock; deride; redicule; deceive; delude; defy.
4823,insutto,Insult; affront; gross indignity offered to another.
4824,intelihente,Intelligent; smart.
4825,intension,Intention.
4826,intensiona,Intend.
4827,interes,Interest; profit; commision; interested; concerned.
4828,interes,Selfishness; interest; profit.
4829,interesånte,Interesting; pleasing; gratifying; attracting the curiosity; satisfying ot the mind.
4830,interesao,Selfish; egotistic; egocentric; self-interested; self-centered; self-seeking.
4831,interesao,Interested; attentive; mindful; concerned.
4832,interinu,Intern.
4833,interiot,Interior; interior government.
4834,intetno,Interior; internal.
4835,intetpiti,Interpreter; translator.
4836,introdusi,Introduce; lead; bring in; insert.
4837,introdusion,Introduction. Also introduksion
4838,inturompe,Interrupt; interfere with; intercept; disturb; cause a discontinuance; stop in the midst of.
4839,inutet,Paralysis; paralyzed; unfit; unserviceable.
4840,ipe',Cut open; split; notch; chip.
4841,ira,Disaster; calamity; catastrophe; cataclysm; tumult; violent outburst; tempest.
4842,irana,Toad.
4843,irensia,Inheritance.
4844,iresa,Eraser.
4845,irida,Will; give an inheritance.
4846,irida,Wound; sore.
4847,iridao,Wounded; pregnant--before marrriage.
4848,iridao,Victim; dupe.
4849,iridera,Heir. (female)
4850,irideru,Heir. (male)
4851,iriko',Type of fish--small fish; often used as tuna bait. Obtained in dried form from Japan.
4852,isa,noun. Rainbow. 
4853,isague,Offend; transgress; caused to sin; cause to feel hurt or resentful.
4854,isao,noun. a sin; an offense; a fault or wrondoing; a crime; a violation. verb. to commit a sin.
4855,isao dånkolo,"Mortal sin. Literally, big sin."
4856,isao dikike',"Venial sin. Literally, small sin."
4857,isao må'gas,"Mortal sin. Literally, chief sin."
4858,isao orihinåt,Original sin.
4859,isao ñalalang,"Venial sin. Literally, light sin."
4860,isek,Pass through; go by way of. 
4861,isisio,March--as in a formation.
4862,isla,"noun. Island, isle (geography)."
4863,isleta,Small island.
4864,istoria,History.
4865,Istoria Sågråda,Bible history.
4866,itak,"Bird--legendary. Is said to come out at night, and is heard only by a few people, especially when an unmarried girl is pregnant."
4867,Italia,Italy.
4868,Italiåna,Italian. (female)
4869,Italiånu,Italian. (male)
4870,itbåna,Quilting seam.
4871,iteng,"Pick; break off, especially from flowers, fruit, bananas, etc.; banana bunch."
4872,ito',Type of fish--clarias batrachus (family clariidae). Fresh-water catfishes.
4873,iya,"Article, used with geographical place names and with emphatic pronouns."
4874,iya',By the way; incidentally. An expletive used to begin a new thought. Short form of hiya'.
4875,iyo-,"Belong to (something, someone)--used with possessive pronouns."
4876,iyon,Belong to.
4877,k,Letter of the Chamorro alphabet.
4878,ka,Have something (prefix)--usually prefixed to a modifier. Stress falls on ka- in affixed form; there is.
4879,ka'dideng,Hop; skip (with one leg); hopscotch--type of; limp.
4880,ka'guas,Scratch; scrape--with claws or nails.
4881,kå'he,Stuffed crab.
4882,kå'kå',Crack; crevice; fissure; fracture; cleft; break partially; open in chinks; become fissured; be fractured.
4883,ka'ka'mata',Cracked skin; cracked rubber as a result of rotting.
4884,ka'lak,Healthy looking; pleasing to the sight; atractive.
4885,kå'mang,"Tyep of plant--hibiscus abelmoschus. Also kå'mang unai, kå'mang tiget. Type of flower."
4886,ka'u,Bean pole--usually three poles forming a tripod.
4887,kåbåles,adjective. complete; brought to completion or perfection; finish; fully realized; intact.
4888,kåban,Burlap sack--one-hundred pound.
4889,kåbåyeria,Cavalry.
4890,kåbåyerisa,Stable.
4891,kåbåyeros,Type of plant--caesalpinia pulcherrima. Pride-of-barbados.
4892,kåbåyeru,Gentleman; horseman; knight; man of good family; man of good breeding; aristocrat. Also kåbåyera (f).
4893,kåbåyeti,Cross-beam--of a house roof or ceiling.
4894,kåbåyeti,Attic; place above the ceiling.
4895,kåbåyon kåtpenteru,Sawhorse.
4896,kåbåyon tåsi,Type of fish--hippocampus. Sea horse.
4897,kåbåyu,Horse; pony.
4898,kåbåyu,"Trestle; a braced frame serving as a support, as for a table; sawhorse."
4899,kåbaña,Cottage; hut.
4900,kåbesa,Head--seat of the brain; brain; skull; mind.
4901,kåbesåda,Stagger; totter; walk or stand unsteadily.
4902,kåbesiyu,Foreman; headman; leader.
4903,kåbilosu,Brainy; smart; intelligent; brilliant; clever. Also kåbilosa (f).
4904,kåbisera,Beam--for roof of a house.
4905,kåbisera,Yard (of a house); gable--of house; head of the table.
4906,kåbiyon,Mosquito net.
4907,kåbo',Share--of stock.
4908,kåbo',noun. curve. (Saipan)
4909,kåbon Negro,Type of plant--arenga pinnata. Sugar palm.
4910,kåbosi,See åkåbosi.
4911,kåbron,"noun. 1) cuckold; one who permits too many liberties. 2) bastard, asshole (vulgar). Also kåbrona."
4912,kåbu,Corporal; rank in the military service.
4913,kåcha',Husk (coconut); husking; tool for husking.
4914,kåchang,Lackluster; colorless; describes the meat of betel nut when It is not firm and has a pale or dull color.
4915,kåchet,Dress up; put make-up on; apply cosmetics.
4916,kåchido',Movie; motion picture.
4917,kåcho',"Type of fish--katsuwonus pelamis, gymnosarda nuda. White tuna; tuna."
4918,kada,Every time; each; each time.
4919,kada dia,Daily; every day; each day; day to day; one day after another.
4920,kada hå'åni,Every day; daily; each day; day to day; one day after another.
4921,kada ratu,Frequently; usually; almost always; every time.
4922,kada såkkan,Annual; each year; yearly.
4923,kådåbet,Clumsy; frail.
4924,kådåbet,Corpse; cadaver.
4925,kadada',Short; brief; not long.
4926,kadagan,"Type of plant--similar in taste to broccoli, used in cooking eskabeche."
4927,kaddo,"Boil--type of cooking meat or soup, sauce, broth, soup."
4928,kådena,Chain; bracelet; necklace.
4929,kåderas,Hip.
4930,kåderas,Carcass.
4931,kådidak,Tickle; titillate.
4932,kådidak,Tickling.
4933,kådidakon,Ticklish.
4934,kådidok,Sharp. Also akådidok.
4935,kado',Pretend; feign; sham; make believe.
4936,kado' mama'maolek,Hypocrite; dissembler.
4937,kåduka,Lunatic; demented; fool; idiot; crazy. (female)
4938,kåduku,Lunatic; demented; fool; idiot; crazy; insane. (male)
4939,kåfe,Type of plant--coffea arabica. Coffee.
4940,kåfetera,Coffee pot.
4941,kåfetiria,Cafeteria.
4942,kafo',Type of tree-pandanus. Screw pine. Fruit bats feed on its fruit.
4943,kåguan,Decrease; lessening; shortening.
4944,kåguan,Gap; hole between two things through which one can see.
4945,kåha,Safe; steel box; chest--a place to put valuable items.
4946,kåhao,Type of fish--family leiognathidae. Soapys.
4947,kåhat,Lift; raise up; hoist or raise with a tackles; promote or raise salary; build house.
4948,kahat,Stalk; still-hunt; sneak; move furtively or slinkingly; creep; steal (so as to be unobserved).
4949,kahatgue,Stalk; still-hunt; sneak; move furtively or slinkingly; creep; steal (so as to be unobserved).
4950,kåhåya,Saved; freed; helped; redeemed; rescued from danger.
4951,kåheru,Treasurer; cashier.
4952,kåhet,"Type of plant--citrus aurantium. Orange. Also citrus sinensis, sweet orange."
4953,kåhet dånkolo,Type of plant. A citrus fruit smaller than kåhet må'gas.
4954,kåhet dikike',Type of plant--citrus reticulata. Tangerine. Also lålanghita.
4955,kåhet må'gas,Type of plant--citrus grandis. Grapefruit. Litterally ruler's orange.
4956,kåhida,Veranda; porch.
4957,kåhita,Box; carton; case.
4958,kahlang,Hang--by suspending oneself from something; suspend; cling onto (something) in order to suspend oneself.
4959,kåhlao,Type of plant--microsorum scolopendria. Type of bush--used for medicine.
4960,kåhna,Hex; heckle; wishing failure upon someone.
4961,kåhna,Hexer; heckler; sorcerer.
4962,kåhnayi,Hex; bewitch; cast a spell on.
4963,kåhon,noun. box; crate; carton; case; drawer.
4964,kåhon ais,Refrigerator; ice box. Also ais boks.
4965,kåhon bålotu,Ballot box.
4966,kåhon limosna,Collection box; donation box--usually found in church.
4967,kåhulo',Get up; climb up.
4968,kåhulo'gue,Climb on top of; get up on (something) for something.
4969,kaiåko',noun. gun powder; dynamite; TNT; explosive powder. (Saipan)
4970,kaiha,Takes a long time; long way; long time.
4971,kaikai,Move from; cause to move.
4972,kaiman,noun. crocodile; alligator.
4973,kairo',noun. Toad; frog. Also kahero'. (Rota)
4974,kåitani,Command; lead; command for; lead to.
4975,kaiyio',All clear--after bombardment. (Saipan)
4976,kaka'guas,Scratcher; capable of scratching; claws.
4977,kaka'ka',Type of fish--family lutjanidae. Snappers.
4978,kåkågong,Fontanel; an opening or soft spot on a baby's head.
4979,kåkåguåtes,Type of plant--arachis hypogaea. Peanut.
4980,kakåhna,Witch doctor. Also kakåna.
4981,kakak,"Hawk up--the sound heard when clearing the throat, as in hawking up phlegm. Also katka."
4982,kakalamten,Able-bodied; capable of doing work.
4983,kakale',"Stem--of fruit, flower, leaf, etc.; vine."
4984,kakalek,Bitter; sour; tart; acid.
4985,kakalom,Come into; enter.
4986,kåkålotes,Corn cob.
4987,kakana,"Witch doctor, witch crafter; one who performs witchcraft. (Rota) Also kakåhna."
4988,kåkao,Cacao; cocoa--a South American tree of the chocolate family.
4989,kåkåronde',"Hop--while spinning, like a playing top; skip around; not steady."
4990,kåkåroti,"Hop--while spinning, like a playing top; fickle; rascal."
4991,kåkåroño',Blunted point of spinning top.
4992,kakatot,Itchy sensation in mouth from eating while yams or other foods.
4993,kåkåttan,Go east; move east; eastward movement.
4994,kåkåya,Go south; move south; southward movement.
4995,kåkåyu,Stem; midrib of a leaf.
4996,kaki,Khaki.
4997,kakkak,Type of bird--ixobrychus sinensis. Chinese least bitten.
4998,kåkko',noun. looks; appearance; posture; position. (Saipan).
4999,kakno',noun. eater; glutton--with a craving for a particular food; one who snitches or eats another person's food.
5000,kakte,Noisy person; cry-baby; one who makes noise often; one who cries at slight provocation.
5001,kaku,To claw; tickle; scratch viciously.
5002,kala'u,Messy; unkempt hair; untidy; disheveled; bedraggled; wrinkled (clothes).
5003,kålåbasa,Long squash.
5004,kålåbera,Skeleton; skull.
5005,kålåbosu,Jail; prison.
5006,kålåchucha,Type of plant--plumeria obtusifolia. Plumeria.
5007,kålaguak,Side (portion of the body); from hip bone to arm pit.
5008,kålåhi,Huge pot--shaped like a helmet; vat--used for cooking or mixing liquids in large quantities; frying pan.
5009,kålai,Huge pot.
5010,kalakas,"adjective. disgusting, revolting, repugnant, filthy; revulsion --expression of distaste."
5011,kålaktos,Sharp; keen; acute.
5012,kalalang,Type of bird--numenius madagascariensis. Long-billed curlew.
5013,kålamai,"Corn pudding--made with corn flour, coconut milk, sugar, and coconut."
5014,kalamasa,"Type of plant--cucurbita moschata. Squash. Or, legenaria siceraria. Gourd; pumpkin; squash."
5015,kålamelu,Caramel.
5016,kålamendo',Type of plant--tamarindus indica. Tamarind. Also kåmalendo.
5017,kålamle,Cramped; cunvulsed; having spasms.
5018,kalamot,"Gulp; swallow whole. Also galamokmok, kalamok."
5019,kalamten,Start motion; set to action; move.
5020,kålamya,Dexterous; agile; nimble; quick.
5021,kalang,Hang.
5022,kalang,"Like; such. Also kalan, kulang."
5023,kalang måtai,Ghastly; deathlike.
5024,kålankangi,"Shake out, as salt, sugar, pepper, etc. on or into something."
5025,kalanke',Little finger.
5026,kålapang,Bad starch--starch which leaves clothing spotted when used during ironing.
5027,kalaskas,Rattle; crackling (of dry leaves); rustle--of dry grass or leavs; any rustling sound. Also kaskas.
5028,kalaton,Rough (surface); scabrous; uneven surface; not smooth.
5029,kalek,Cause dizziness; dizziness caused from taking line with betel nut.
5030,kåleku,Scrape; scrape surface; scratch surface--for purpose of cleaning.
5031,kålendario,Calendar.
5032,kålentådu,Warm; tepid; of moderately high temperature.
5033,kålentura,Fever; to have a fever.
5034,kåleru,Container for lime used for mixing with betel nut.
5035,kåles,Chalice.
5036,kålesa,noun. 1) carriage; buggy. 2) luggage cart.
5037,kålesa,An obscene gesture using the middle finger pointing upward.
5038,kålibre,Caliber.
5039,kalile',Petiole; stem of leaf.
5040,kallo,Loose; lax; not tight or rigid; slacken. Also kalu.
5041,kålulot,Finger (generic term); leg of crab.
5042,kålulot talo',Middle finger.
5043,kålumnia,Assume; suppose; have in mind; take for granted. Slander.
5044,kåma,Bed; cot; bedstead; resting place; sleeping place; bedridden; confined to bed while sick.
5045,kama'gas,Second in command; assistant to boss; lower level leader.
5046,kåmachili,Type of plant--pithecellobium dulce.
5047,kåmalen,Barn; a very large building for storage.
5048,kåmarera,Waitress; chambermaid; stewardess.
5049,kåmareru,Waiter; chamberlain; steward.
5050,kåmaroti,Attic; place above the ceiling.
5051,kåmbrai,"Type of cloth, chambray."
5052,kåmeks,Comics; cartoon; comic strip.
5053,kåmeyu,Camel; dromedary.
5054,kåmia,Type of flower. Ginger--white or red.
5055,kåmisita,Baby's undershirt.
5056,kåmisita,Half-slip--female undergarment.
5057,kåmisola,Petticoat; underskirt; slip.
5058,kamkam,Jerk loose; loosen; pry loose.
5059,kåmma',verb. cut with sickle. (Saipan) Sickle -- an agricultural implement consisting of a curved metal blade with a handle.
5060,kåmpai',noun. toast (in drinking); skoal; buttoms up. An exclamation pledging health in drinking; cheers. (Saipan)
5061,kåmpamento,noun. camp; encampment.
5062,kåmpåna,Bell.
5063,kåmpånayon,Belfry; belltower.
5064,kåmpåniya,Small bell.
5065,kåmpañeru,Bell-ringer.
5066,kåmpo,Space; room; area in which to work or stay.
5067,kåmpo,Camp.
5068,kåmpo',Bombard; shelling--from heavy artillery. (Saipan)
5069,kamten,Thief (polite); restless; nosey; active in a mischievous way.
5070,kåmuten nanoffe,Type of plant--taeniophyllum mariannensis.
5071,kåmuti,Type of plant--ipomoea batatas. Sweet potato.
5072,kåmyo,Grate (coconut).
5073,kåmyo,Coconut grater.
5074,kana',Hang; hang up; suspend.
5075,kana',Drooping; sagging; hanging.
5076,kana' fistula,Type of plant--cassia fistula. Golden shower.
5077,kana' ha',"Almost; nearly. Also kana', kanna', katna'."
5078,kana' mågagu,Clothes hanger.
5079,kånårio,Canary.
5080,kånåstra,"Woven basket, especially used for a food container."
5081,kåndålu,Fasten (with a lock); lock in or out.
5082,kåndålu,Lock; padlock.
5083,kåndaroma,Type of plant--acacia farnesiana.
5084,kande,Candy.
5085,kåndela,Candle.
5086,kåndelåria,Chandelier.
5087,kåndet,Lamp; flashlight; kerosene; lamp.
5088,kåndet gas,Gaslight; gas lantern.
5089,kåndidåtu,Candidate; nominee; applicant; political contestant; aspirant.
5090,kåndidatura,Candidacy.
5091,kåndileru,Candle holder.
5092,kånela,Type of spice--similar to cinnamon. Cinnamon.
5093,kånesela,Cancel; delete; render invalid.
5094,kångga,Top rack of a batangga (sled) used for carrying fragile items.
5095,kånggrena,Gangrenous; gangrene.
5096,kånghelon,noun. Horn (of animal); gore; antler.
5097,kånifes,Thin; flimsy; not thick; cheer.
5098,kåniya,Shin.
5099,kånkårakere',noun. kick-the-can (game). (Saipan)
5100,kånkire',noun. can opener. (Saipan)
5101,kankong,Type of plant--ipomoea aquatica.
5102,kanna',Nearly; almost. 
5103,kånnai,Hand; arm (up to the shoulder); dial (of clock or watch).
5104,kånnat,Ditch; trench; pit; canal; channel.
5105,kånnat hånom,Rain gutter.
5106,kånno',Eat something; devour something; consume something; gnaw on something. Must always take an object.
5107,kånnu'on,Coconut--having sweet husk while still green; edible; fit to be eaten as food. Combination of kånno' plus -on.
5108,kånoa,Trough--for pig's food; feeding place of pigs.
5109,kånoa,Canoe.
5110,kånoniku,"Register book; record book maintained by the church where all important data are kept, especially records or birth dates."
5111,kånsådu,"Tired; fatigued; exhausted; wearied; haggard; worn out. Barren; infertile, especially worn out land."
5112,kånselasion,Cancellation.
5113,kånset,Cancer.
5114,kånsunsiyu,Shorts; undershorts. (Rota) Also kåtsunsiyu.
5115,kånta,Hum; chant; sing.
5116,kånta,Song; chant.
5117,kåntan Chamorrita,"Type of singing--traditional, in which the words are part of a dialog between the singers, usually the lyrics would be improvised."
5118,kantånes,Type of chicken--resembling bantam. Also kantones.
5119,kåntåru,"Container (large can), such as a garbage can; oil drum."
5120,kånteha,Go around the edge.
5121,kåntidå,Plentiful; bountiful; many; lots of; bulk.
5122,kåntiku,Hymn.
5123,kåntina,Canteen; wine cellar; tavern; bar.
5124,kåntit,Cliff; bluff.
5125,kånto,Edge; border; brim.
5126,kånton långet,Horizon; limit of one's imagination.
5127,kånton tåsi,Seashore; beach.
5128,kåntones,Type of chicken--resembling bantam. Also kantånes.
5129,kåntora,Singer; vocalist. (female)
5130,kåntores,Choir; chorus.
5131,kåntot,Singer; vocalist. (male)
5132,kånu,American (male). Short form for Åmerikånu. Also kåna (f).
5133,kånya,Move--something from one place to another.
5134,kånyase',Hairpin. (Saipan)
5135,kao,Question marker (general).
5136,kaohao,"Storage chest; box, especially for safekeeping of possessions."
5137,kaosa,Court case; lawsuit; a situation involving a problem.
5138,kaosadot,Plaintiff; the one who takes someone to court.
5139,kaotiba,Ba captured; be charmed; be fascinated.
5140,kaotibu,Captive.
5141,kåpa,Cape; cloak; wrap; mantel; overdress; shawl.
5142,kåpa de la raina,Type of plant--clitoreaternatea. A type of vine.
5143,kåpas,adjective. capable; able; fitted for; suited for; capacious; competent.
5144,kåpåsidåt,Capacity; ability.
5145,kåpåt,Reduced work load; out of work.
5146,kåpble,Cable gram; telegram; send or receive message by cablegram.
5147,kåpitålisa,Capitalize.
5148,kåpitan,Captain.
5149,kåpitåt,Capitol; capital.
5150,kåpitulu,Chapter.
5151,kåpiya,Chapel; shrine.
5152,kaporat,Bodily; corpoeal.
5153,kåppon,Castrate; capon; eunuch.
5154,kåprichosu,Capricious; whimsical; changeable; fickle.
5155,kåprichu,Caprice; unrestricted choice; free will.
5156,kapsulas,Pill. Also katsulas.
5157,kåpua,Type of plant--polyscias fruticosa. A type of flower.
5158,kåpuchinu,Capuchin; Fransiscan friar.
5159,kapuråt,Foreman; boss.
5160,kåputi,One fails to win a point in res siete (card game).
5161,kåputon,Raincoat; slicker; poncho.
5162,kåpuyo',Bud (of plant); flower bud.
5163,kåra,Face.
5164,kåra',adjective. broke; bankrupt; destitute. (Saipan)
5165,kåra',noun. bullet shell; shell casing. (Saipan)
5166,kårabao,Water buffalo; carabao.
5167,kåråhu,Mild expletive; heck; baloney; phooey. 
5168,kårai,Turtle shell; stiff plastic; plexiglass.
5169,kårakot,Type of shell--genus cyprea.
5170,kåramanset,Euphemism for kåråhu.
5171,kåråmba,"Gosh, golly, etc."
5172,kåråmbot,Darn it; heck (interjection).
5173,kårånchot,Darn it; heck (interjection).
5174,kåråte',Karate; Japanese fighting style.
5175,kårera,"noun. race; a contest of speed as in running, walking, rowing, etc. "
5176,kårera,noun. journey; voyage; trip; travel.
5177,kåreta,noun. vehicle; car; automobile; bull cart.
5178,kåretåda,Cartload.
