0,1,2,3,4,5
 Metgot si Juan sa' gaitaotao. ,Juan is strong because he is  possessed by the evil spirit (taotaomo'na,),,,
 Gaitaotao si Rosa. ,Rosa has a man,,,,
 Gaitaotao si Juan gi finakpo' lukao. ,Juan had people at his  house after the procession,,,,
 Ga'kumuentos hao. ,You are a blabbermouth,,,,
 Gai ganas yo'. ,I have an appetite,,,,
 Ta ganna siha gi pingpong. ,We defeated them in pingpong,,,,
 Ga'ña-ku humugando bola. ,I prefer to play ball,,,,
 Ga'o-ku lumi'e' Hawaii kinu Vietnam. ,I prefer seeing Hawaii than  Vietnam,,,,
 Ga'on-$niha manhugando bola. ,They like to play ball better,,,,
 Ma ga'om i pigua' gi tronko. ,They picked the betel nut from the  tree by the bunch,,,,
 Ga'otgan i ga'lagu ni na'-ña to'lang. ,The dog choked on its  bone,,,,
 Magapot yo' nigap. ,I was pulled by the hair yesterday,,,,
 Hu gasta i salape'-hu. ,I spent my money,,,,
 Hu gasta i sapatos-hu. ,I wore out my shoes,,,,
 Hu gasta i tiempo-ku gi gima'-mu. ,I wasted my time at your house,,,,
 Ha gatcha' i sapatos-hu. ,He stepped on my shoes,,,,
 Hu gatgaras i pachot-hu anai munhayan hu gimen i amot. ,I rinsed  my mouth when I finished drinking the medicine,,,,
 Ge'haya. ,Move further east,,,,
 Ge'magi. ,Move further here,,,,
 Ge'halom. ,Move further in,,,,
 Ge'haya ya un espiha i pinaki-hu ni binadu. ,Move further south  and search for the deer which I have shot,,,,
 Hu ge'hilu'i i katga-mu ni katga-ku. ,I put my cargo on top of  your cargo,,,,
 Ge'kattan guihi sa' maolek yuhi na lugat para pumeska. ,Move  further east there because it is a good spot there for fishing,,,,
 Ge'lagu asta i kanton halom tano'. ,Move further north to the  edge of the forest,,,,
 Ge'lichan gi chalan siempre un sodda' i tenda. ,Move further west  on the road for you will surely find the store,,,,
 Gelle'appan aga' ,when made with ripe bananas. Also &gollai appan,,,,
 Hu hungok i getmon. ,I heard the crunchy noise,,,,
 Getmon i tekcha' gi liga. ,The spear pierced through the wall,,,,
 Gi Tamuning yo'. ,I am from Tamuning,,,,
 Giga' i nifen-hu. ,My tooth is loose,,,,
 Gigon matto hao humanao gue'. ,"As soon as you came, he left",,,,
" Gigon makpo' i programa, ma$nocho ham. ","When the program was  over, we ate",,,,
 Gigu ham matto yan i ma'estra gi klas. ,We arrived simultaneously  with the teacher in class,,,,
 Gigu siha munhayan. ,They finished at the same time,,,,
 Ginasta gue' dies pesos ni sapatos-ña. ,His shoes cost him ten  dollars,,,,
 Matto i batkon aire ginen Guam. ,The plane came from Guam,,,,
 Ginen ngai'an hao matto? ,Since when did you come?,,,,
 Hu gisa i mannok gi la'uya. ,I sauteed the chicken in the pot,,,,
 Sumaga yo' giya Honolulu giya Hawaii. ,I stayed in Honolulu in  Hawaii,,,,
 Para bai hu bola giya New York. ,I will play ball in New York,,,,
" Giya hami, siha, hita. ","At our, their, our (inclusive) house",,,,
 Go'dan hao gi chalek-mu. ,You overdid your laguhter,,,,
 Go'dan i palao'an umestoria. ,The woman was too much in telling  stories,,,,
 Goddon yo' gi lasu. ,I was trapped in the lasso,,,,
 Si Rosa gof malangu gi espitat. ,Rosa was very sick at the  hospital,,,,
 Goflinan mata-hu anai mangguaife i manglo'. ,Something got into  my eye when the wind blew,,,,
 Hu goia i guafi. ,I fanned the fire,,,,
 Hu gosa i minagof-hu. ,I enjoyed my happiness,,,,
 Kuanto na ayuyu kinenne'-mu ni manggosne? ,How many molted  coconut crabs did you catch?,,,,
 Gotpe matto i patgon magi. ,The child instantly came here,,,,
 Gotpeha mo'na i mannok ya un konne'. ,Rush to the chicken and  catch it,,,,
 Cha'-mu gotpepeha yo' kumuentusi. ,Don't raise up your voice when  you talk to me,,,,
 Guaddok taddong i hoyu. ,Dig the hole deep,,,,
 Sigi ha' hu guaddok i masakken kareta-hu. ,I kept on  investigating the theft of my car,,,,
 Un gua'deng si Antonio gi chalan. ,You tripped Tony on the road,,,,
 I nana ha gua'gua' i patgon-ña. ,The mother caused her baby to  regurgitate (by sticking her finger down its throat),,,,
 Ti siña ma guaguat si Juan. ,Juan cannot be disciplined,,,,
 Kao guaha chipa-mu. ,Do you have a cigarette? Guaha meggai na  kareta giya Garapan. ,There are many cars in Garapan. Cf. &Gai,,,
 Ha guahne i take' gi chalan. ,He removed the feces from the road,,,,
 I mannok mangguahof gi edda' para u fanespiha na'-ña. ,The  chicken scratched at the ground in search of its food,,,,
" Guailayi hao ha' mana'hanao, nina'gos banidosu hao. ","Just because  you were sent away, you became very proud",,,,
 Guaiyayon na neni enao. ,That is a lovable baby,,,,
 Hu guakse i magagu-hu. ,I scrubbed my clothes,,,,
 Hu guakse i tilipas-ña i mannok. ,I reached in and pulled the  guts from the chicken,,,,
 Maolek umepanglao anai gualafon i pilan. ,It is good to go  crabbing when it's full moon,,,,
 Palakse' ,'to slip',,,,
 pinalakse'guan ,'slip of the tongue',,,,
 Mafnot,'tight',,,,
 Minafnotguan yo' ni ginedde-ku. ,The thing that  I tied became tight (but was supposed to remain loose),,,,
 Ha dangkolongguan yo' i cha'guan gi hatdin. ,The grass in my  garden grew big (without my being aware of it),,,,
 Guaña ilek-ña na para ta fanhanao? ,Really did he say we will  go?,,,,
 Hanao un guasguas hao. ,I don't believe you,,,,
 Ombre un guasguas hao. ,The heck with you,,,,
 Ha guassan i uriyan guma'-ña. ,He cut the grass around his house,,,,
 Para u guassani yo' si Ton ni uriyan guma'. ,Ton will cut the  grass around the house for me,,,,
 Dios di guatde. ,God be your guard,,,,
 Kada matago' para u fanestudia gumenggueng. ,Every time he was  told to study he muttered under his breath,,,,
 Hu guifi iya Hawaii. ,I dreamed of Hawaii,,,,
 Mangguifi yo' gi painge. ,I dreamed last night,,,,
 Ha guifi si Maria. ,He dreamed of Maria,,,,
 Guinaife yo' ni manglo'. ,I was blown by the wind,,,,
 Ha gunom i kontrariu. ,He squeezed the opponent,,,,
 Gumupu yo' gi batkon aire. ,I flew by plane,,,,
 Gumupu i paharu. ,The bird flew,,,,
 Guse'kannai. ,"Grabber, quick handed",,,,
 Guse'pachot. ,"Backtalker, answers too fast",,,,
 Guse'ña guahu mana'hanao para Hawaii. ,I might be the one to be  sent to Hawaii,,,,
 Guse'ña hagu hu li'e' gi painge. ,It is more likely that you  were the one I saw last night,,,,
 Hu sosodda' gusto-ku yanggen manggaganna yo'. ,I am finding my  pleasure when I am winning,,,,
 Guaha gusto gi chipa. ,The cigarette has taste,,,,
 Kanna' ha lachai si Juan gumutai i mangga. ,Juan picked almost  all of the mangoes at one time,,,,
 Hu gutai i dagu. , I harvested the yams at one time,,,,
 Hu gutos i aga'ga'-ña i mannok. ,I broke off the neck of the  chicken,,,,
 Hu gutos i goma. ,I snapped the rubber band,,,,
 Kao ya-mu ha? ,"You like it, yes?",,,,
 Haguaha bisita gi gima'-ña. ,He usually has a visitor at his  house,,,,
 Hamayulang i kareta-hu gi chalan. ,My car usually breaks down on  the road,,,,
 Mamaolek ha'. ,Still fine,,,,
 Si Juan ha'. ,"Only John, John alone",,,,
 Hu habuni i kannai-hu. ,I washed my hands with soap,,,,
 Hafa tatatmanu hao? ,How are you? Hafa este? ,What is this?  Hafa ilek-mu? ,What did you say?,,
 Hafa na klasi ya-mu? ,What kind do you like? Hafa na klasi  gimen-mu? ,What kind is your drink? Hafa na klasen kareta  kareta-mu? ,What kind of car is your car?,,
 Hafalagu este na patgon. ,This child has a tendency to run away,,,,
 Hu tungo' un hafatta na taotao. ,I know an absent minded person,,,,
 Hu ha'fe i tronkon hayu ni mahlok. ,I braced the tree that was  broken,,,,
 Hafkao bidada-mu guenao? ,What in the world are you doing?,,,,
 Hafye i nenkanno' gi hilo' unai. ,Lay down a cover on the sand  for the food,,,,
 Hagan Tomas. ,Thomas's daughter,,,,
 Hagas ha' gue' sumaga giya Hawaii. ,He has been staying in Hawaii  for a long time,,,,
 Hagas ha' para bai hu hanao para Hapon . ,For a long time I have  been planning to go to Japan,,,,
 Hagu gumanna i huegu. ,You are the one who won the game,,,,
 Hague' magi. ,Hand it here to me,,,,
 Mafak i ha'iguas ilu-ña si Juan. ,Juan's skull was fractured,,,,
 Tiempon ha'ilas. ,Time of famine,,,,
 Sesso pakyo giya Marianas gi halacha siha na tiempo. ,There were  often typhoons in the Marianas in the past times,,,,
 Gi halacha bula mansinagu na taotao. ,Just recently many people  had colds,,,,
 Ha halang yo' mamokkat hulo' gi ekso'. ,Walking up the hill gets  me,,,,
 Hu halang hao anai mumu hit. ,I caused you to admit defeat when  we fought,,,,
 I hale' matai. ,The root is dead,,,,
 Espiha i hale' enao na sinangan. ,Find the origin of that rumor,,,,
 Humallom yo' na mamaigo' gue'. ,I presume that he is sleeping,,,,
 Chule' halom. ,Take it inside,,,,
 Hu halomgue si Pedro gi gima'-ña. ,I went in Pete's house to get  him,,,,
 Halon fan i hagua. ,"Thread the needle, please",,,,
 Chuli'i yo' halon ya bai hu godde i ayuyu. ,Get me a string so  that I can tie the coconut-crab,,,,
 Manhanao ham asta i lancho. ,We went up to the ranch,,,,
 Manma$nule' ham lepblo. ,We took books,,,,
 Un ofresi ham lapes. ,You offered us pencils,,,,
 Hamas ti bai kuentusi hao. ,I'll never speak to you again,,,,
 Hu ha'me i kannai-hu gi guafi. ,I warmed up my hands by the fire,,,,
 Hu ha'me i flores. ,I made the flower wilt from the heat,,,,
 Manmanhungok hamyo buruka. ,You heard noise,,,,
 Hu li'e' hamyo gi chalan. ,I saw you on the road,,,,
 Hamyo sumodda' i patgon. ,You were the ones who found the child,,,,
 Humanao gue' nigap. ,He went yesterday,,,,
 Hanom fresko. ,Fresh water,,,,
 Hanom ais. ,Ice water,,,,
 Hanom uchan. ,Rain water,,,,
 Hanom sinaga. ,Collected rain water,,,,
 Hanom bo'bo'. ,Spring water,,,,
 Hanom kloraks. ,Chlorinated water,,,,
 Hanon kannai-hu. ,My hand was burned,,,,
 Hafa hinangai-mu gi espitat? ,What was your purpose for being at  the hospital? Hafa un hangai gi lancho-ku? ,What was your reason  for being at my ranch? Guaha hinangai-hu gi gima'-mu. ,There was a  reason for being at your house,,
 Humanao hao. ,You went,,,,
 Chumocho hao mansana. ,You ate an apple,,,,
 I manglo' ha hasa i gima'. ,The wind blew the house away,,,,
 I korente ha hasa i boti gi tasi. ,The current caused the boat to  drift out to sea,,,,
 Hu hasngon ha' gumacha' addeng-mu. ,I deliberately stepped on  your foot,,,,
 Ha hasngon ha' ti umatan yo'. ,He intended not to look at me,,,,
 Hu hasnguni hao ti guma'chungi un simana. ,I deliberately refused  to accompany you for a week,,,,
 Hu hasnguni gumacha i addeng-ña. ,I kept stepping on his foot  deliberately,,,,
 Haspok i neni ni leche. ,The baby was filled up with milk,,,,
 Haspok yo' ni nenkanno'. ,I was filled up with food,,,,
 Hassan yo' matto gi gima'-$niha. ,I seldom go to their house,,,,
 Hassan gima' padet giya Marianas. ,Cement block houses are scarce  in the Marianas,,,,
 Hu hasso i lepblo-ku gi halom sidan. ,I remembered my book inside  the sedan,,,,
 Hu hasso si nana-hu anai hu atan i litratu-ña. ,I thought of my  mother when I saw her picture,,,,
 Hastan denke'. ,Pole with light,,,,
 Hattichan. ,Move further west,,,,
 Hatguatu. ,Move further to there (away from speaker and  addressee),,,,
 Hattilo'. ,Move further up,,,,
 Hatkattan para i fi'on-ña. ,Move further east to his side,,,,
 Hu hatme i tano'-mu nigap. ,I trespassed your land yesterday,,,,
 Hu hatme i chinina-hu ni nuebu. ,I put on my shirt that was new,,,,
 I hanom ha hatme i magagu-hu. ,The water penetrated my clothes,,,,
 Guaha ta'lo hatsamienton suetdo. ,There will be another raise in  salary,,,,
 Hattagu guenao asta i kanton kantit. ,Move further north there to  the edge of the cliff,,,,
 Hattalom gi gima'. ,Move further inside the house,,,,
 Hattaya gi plasa ya ayu na un hugando. ,Move further south of the  plaza and that's where you will play,,,,
 Hattichan sa' bula kampo guihi. ,Move further west because there  is lots of space there,,,,
 Hattiyong gi tasi guihi anai taddong. ,Move further out to sea  where it is deep,,,,
 Hayi na'an-mu? ,What is your name? Hayi enao? ,Who is that?,,,
 Hekkua'. ,I don't know,,,,
 Hu hemmot i papet siha gi halom katpeta-hu. ,I stuffed the paper  into the briefcase,,,,
 Para u guaha miteng henerat gi eskuela. ,There will be a general  meeting at the school,,,,
 Matto i henerat. ,The general came,,,,
 Mathenio,,,,,
 Hu hentan as Francisco. ,I got it from Frank,,,,
 Manu nai un hentan enao? ,Where did you get that? Hinentan-hu gi  bundak. ,I got it in the forest,,,
 Ta hentra i lini'e'-ta gi entre i mangga'chong. ,We mentioned the  thing we saw among friends,,,,
 Atof higai. ,Roof of coconut palm,,,,
 Guma' higai. ,Shack made of coconut palm,,,,
 Mahigef i chada'. ,The egg was crushed,,,,
 I palao'an hihot gi lahi. ,The girl is close to the man,,,,
 Hihot yo' gi gima'. ,I am near the house,,,,
 Hinaga' i tinanom-hu mai'es. ,The leaves of my corn are turning  red,,,,
 Hinilat si Juan as Jose. ,John was overpowered by Joseph,,,,
 Kao hinilat hao ni taotao? ,Were you overpowered by the man?,,,,
 Ma$nocho hit gi gipot. ,We ate at the party,,,,
 Manggimen hit lemonada. ,We drank lemonade,,,,
 Ha li'e' hit nigap. ,He saw us yesterday,,,,
 Hita fumahan i gima'. ,We are the ones who bought the house,,,,
 Munga hiya'. ,Don't do it again,,,,
 Hayi na'an-mu hiya'? ,What's your name again? Fata'chong hiya'.  ,Sit down for a short while,,,
 Hu hoggue i neni nigap. ,I carried the baby in my arms yesterday,,,,
 Hokkok salape'-hu. ,All my money is gone,,,,
 Hokkok kafe gi gima'. ,There is no more coffee at the house,,,,
 Homlo' yo' anai ma opera i chetnot-hu. ,I recovered when my wound  was operated on,,,,
 Homlo' i amigu-hu gi chetnot-ña. ,My friend recovered from his  sickness,,,,
 Hu hongang i ga'lagu gi painge. ,I scared the dog last night,,,,
 Hongga i essalao-hu asta i sengsong. ,My shout was heard all the  way to town,,,,
 Mampos hoplat na magagu. ,The clothes are filthy,,,,
 Humosme misa yo'. ,I attended mass,,,,
 Ha hotde i tronkon mangga. ,He climbed the mango tree,,,,
 I ga'lagu ha hotde i otro ga'lagu. ,The dog mounted the other dog,,,,
 Ho'ye yo' ni ginagao-hu. ,Grant me my request,,,,
 Kao ya-mu i kareta-hu. ,Do you like my car?,,,,
 Hu kanno' i mansana. ,I ate the apple,,,,
 Tampe,,,,,
 Si Pete ha huchom i petta. ,Pete closed the door,,,,
 Ta huega un huegu ta'lo. ,We played one game again,,,,
 Hufot i salape'-mu. ,Hang on to your money,,,,
 Hu hula na bai hu hanao agupa' asta i gima'-mu. ,I swear that I  will go to your house tomorrow,,,,
 Ha chule' i salape'-ña ya humahnanao ha'. ,He took his money and  he kept going,,,,
 Humallom yo' na si Jose malangu. ,I suspected that Joseph was  sick,,,,
 Humalom yo' gi gima'. ,I went inside the house,,,,
 Humami nu lumans. ,We had lunch together,,,,
 Kumon hu na'i hao nu este humuyongña taya' yo'. ,"If I give you  this, as a result I won't have any",,,,
 Humuyongña guahu ha' guini yanggen un dingu yo'. ,As a result I  would be here alone if you leave me,,,,
 Humanao gue' hun para i gipot. ,He said he went to the party,,,,
 Hu hungok i rediu. ,I heard the radio,,,,
 Hu hungok na matai. ,I heard that he died,,,,
 I huramento u macho'gue agupa'. ,The pledge will be taken  tomorrow,,,,
 Hu tugi'i si Maria ni katta. ,I wrote the letter for Maria,,,,
 Hu igi i amigu-hu gi tes. ,I beat my friend on the test,,,,
 Ma'ikak yo' gi karera asta i eskuela. ,They defeated me in the  race to the school,,,,
 Hu ikak hao chumocho. ,I beat you eating. (I finished first.),,,,
 Hagas ha' ma'ilao hao. ,You have been searched for a long time,,,,
 Ma'impeña i kareta-ña ni banko. ,His car was mortgaged by the  bank,,,,
 Ha impresa yo' i kuentos-ña. ,His speech impressed me,,,,
 Lini'e' si Juan as Maria. ,It was Juan that Maria saw,,,,
 Ina minaolek i gipot. ,"Oh, how good the party was",,,,
 Inadayao i gobietno. ,The governor became interested,,,,
 Na'triste i inadingu gi entre mangga'chong. ,Parting causes  sadness among friends,,,,
 Inafliton hineksa'. ,Fried rice,,,,
 Inaflitu na mannok. ,Fried chicken,,,,
 I ina'gang-ña kumuentos muna'ma'ilihi. ,His loud way of talking  was the cause of his being elected,,,,
 Inagang si Maria as Pete. ,Pete called to Maria,,,,
 Inale' ni bunitu-ña. ,She was brought to ruin by his good looks,,,,
 Inangglo' katne. ,Dried meat,,,,
 Inangglo' guihan. ,Dried fish,,,,
 Inangglo' magagu. ,Dried clothes,,,,
 Liame' na inapmam hao giya Rota. ,"Gosh, you certainly stayed a  long time on Rota",,,,
 I inapmam-hu kuatro oras. ,I was delayed four hours,,,,
 Inapu i nenkanno'. ,The food has ashes in it,,,,
 Inapulaihan i pan. ,The bread became moldy,,,,
 Inatditi ni baba-ña. ,His badness was made worse,,,,
 Inefresi i patgon as tata-ña bola. ,The father offered the child  a ball,,,,
 Maolek i inefresi-ña gi taotao siha. ,His proposal to the people  was good,,,,
 Inesgaihon yo' gi halom tano' anai umugong yo'. ,I was haunted in  the woods when I moaned,,,,
 Inesgaihon gue' as tata-hu asta i misa. ,He was escorted to the  mass by my father,,,,
 Na'magof i inesgaihon-ña. ,His escorting was pleasing,,,,
 Ya-hu inestukon mañahak. ,I like pickled mañahak,,,,
 Nihi ta fanmama'tinas inestukon. ,Let's make some brine,,,,
 Infin ti humanao hao na'tutungo' yo'. ,"In case you don't go, let  me know",,,,
 Hafa ini? ,What is this? Saga ini gi gima'-hu. ,Stay here at my  house,,,
 Inos hao humalom gi maddok. ,You squeezed inside the hole,,,,
 Hu na'inos i patgon halom gi kareta. ,I squeezed the child into  the car,,,,
 Si Maria ha insisima na maolek si Juan. ,Maria enhanced the  goodness of Juan,,,,
 Ma insiste na bai in kenne' siha. ,They insisted that we take  them,,,,
 Hu intensiona mangge' katta. ,I intended to write a letter,,,,
 Kuanto ingglera un tanom? ,How many rows did you plant?,,,,
 Manisisio i milisianu. ,The militia was marching,,,,
 Katgayi i bihu ni iteng chotda. ,Carry the banana bunch for the  old man,,,,
 Hu iteng i flores gi kanton chalan. ,I picked the flower beside  the road,,,,
 Guam i itmas dankolo na isla giya Marianas. ,Guam is the biggest  island in the Marianas,,,,
 Dankolo iya Honolulu. ,Honolulu is big,,,,
 Taiguenao iya hagu. ,That which is like you,,,,
 Iya' para bai hu hanao agupa'. ,"By the way, I am going tomorrow",,,,
 Iyo-ku este. ,This is mine,,,,
 Hayi gai-iyo enao na tenda? ,Who owns that store?,,,,
 Iyon Maria ayu na lepblo. ,That book belongs to Mary,,,,
 Kao guaha kamaolek gi gima'-mu? ,Do you have something good at  your house? Kalaña i magagu-hu. ,I have some oil on my clothes,,,
 Kafache' i chalan. ,There is mud on the road,,,,
 Mahetok kabesan ilu-mu. ,The skull of your head is hard,,,,
 Si Jose kabesiyon este na grupu. ,Joe is the foreman of this  group,,,,
 Kada ratu hu ngelo' i neni gi maigo'-ña. ,I frequently peeked at  the baby while he was sleeping,,,,
 Kado' taigue yo'. ,Pretend that I am not here,,,,
 I katu ha ka'guas i kannai-hu. ,The cat scratched my hand,,,,
 Hu kahlang yo' gi ramas hayu. ,I hung from the branch of a tree  (by suspending),,,,
 Kahna na taotao gue'. ,He is a person who can hex,,,,
 I kahna-mu na ti hu danche i paluma. ,Your heckling made me not  hit the bird,,,,
 Kumahulo' yo' gi tronkon hayu. ,I climbed up the tree,,,,
 Hu kahulo'gue i ladera. ,I climbed up the mountain,,,,
 Kaiha i batkon aire magi. ,The plane won't get here for a long  time,,,,
 Kaiha yo' matto gi karera-hu. ,It's a long way to go to my  destination,,,,
 Kaiha bula. ,It takes a long time to fill up,,,,
 Hu kaikai yo' gi siya. ,I moved from the chair,,,,
 Mangakakalom siha gi sagua' Umatac. ,They were coming into the  Umatac channel,,,,
 Kakaronde' i tolompo-ku. ,My top hopped while spinning,,,,
 Kakaroti i tolompo-ku. ,My top hopped while spinning,,,,
" Kakaroti hao, lai. ","You are a rascal, friend",,,,
 Kao un sodda' i kareta-mu anai kakattan hao? ,Did you find your  car when you went east?,,,,
 Kakaya si Maria para u fa$nule' flores. ,Mary went south to get  some flowers,,,,
 I hilitai kakno' chada'. ,The lizard is a glutton for eggs,,,,
 Kakno' hao kande. ,You are a glutton for candy,,,,
 Ka'guas,,,,,
 I asagua-hu ka'lak na palao'an. ,"My wife is a healthy looking,  attractive woman",,,,
 Kalakas na inapplacha' lugat. ,"Yike, what a dirty place",,,,
 Mampos hao kalakas na patgon. ,You are a very dirty child,,,,
 Kalamle i addeng-hu. ,My foot cramped,,,,
 Hu na'kalamten i makina. ,I turned on the engine,,,,
 Kalamten i malangu gi katre. ,The patient moved on the bed,,,,
 Hu kalankangi i na'-hu didide' asiga. ,I shook out a little salt  on my food,,,,
 Kalang gatbo este na flores. ,This flower is like perfection,,,,
 Bastos,,,,,
 Ha kalek yo' i pigua'. ,The betel nut made me dizzy,,,,
 Kinalek i patgon ni afok. ,The lime made the child dizzy (as by  chewing),,,,
 I nana ha kaleku i hineksa' gi halom la'uya. ,The mother scraped  the rice from the bottom of the pot,,,,
 Mamahan yo' dos kama giya Guam. ,I bought two beds on Guam,,,,
 Kumama yo' un simana. ,I was sick in bed for one week,,,,
 Kamten i neni gi maigo'-ña. ,The baby was restless while he was  sleeping,,,,
 Kamten hao na taotao. ,You are a thief,,,,
 Hu kana' i magagu siha gi talen manala'. ,I hung up the clothes  on the clothesline,,,,
 Kanna' poddong yo' nigap gi tronkon hayu. ,I nearly fell from the  tree yesterday,,,,
 Hafa kinanno'-mu? ,What did you eat?,,,,
 Hu kanta i kanta. ,I sang the song,,,,
 Kantida na taotao gi miteng. ,There are many people at the  meeting,,,,
 I kanto gi lamasa. ,At the edge of the table,,,,
 Kanton tasi. ,At the edge of the sea (sea-shore),,,,
 Kao para un hanao? ,Are you going? Kao bula i tasi pa'go? ,Is it  a high tide now? Kao guaha gima'-mu? ,Do you have a house? Kao  guaha nai malak Hawaii hao? ,Have you been to Hawaii?,
 Yanggen kapat che'cho'-mu espiha yo'. ,"When you are out of work,  look for me",,,,
 Ha kapitani i batko. ,He commanded the ship,,,,
 Hayi mas karetatibu komo ti si Pedro? ,Who is the most  industrious if not Pedro?,,,,
 I nana ha kari$nu i neni-ña. ,The mother caressed her baby,,,,
 Ha kari$nu i palao'an. ,He petted the woman,,,,
 Na'siguru na un kasa i paki antes de un fanapunta. ,Be sure to  cock the gun before you aim it,,,,
 Ha kasa si Pedro i aposta-ku. ,Pedro covered my bet,,,,
 Gaige yo' gi kasamiento na estao. ,I am in the marriage state,,,,
 Kumasao i patgon sa' ma'amot ni kande. ,The child bawled because  the candy was taken from him,,,,
 Kasi un a$no esta ti umali'e' hit. ,About a year since we saw  each other,,,,
 Kasi si David humanao nigap asta i espitat. ,Probably David went  to the hospital yesterday,,,,
 Kaskas i hagon siha anai mangguaife i manglo'. ,The leaves  rustled when the wind blew,,,,
 Hu kasse i ga'lagu. ,I teased the dog,,,,
 Duranten i katgamento mumalangu si Antonio. ,"While loading the  cargo, Tony became sick",,,,
 Mana'i yo' katgo-ku gi gima'. ,I was given a responsibility at  home,,,,
 Katiyi i guaka ya u fanmatto. ,Call for the cattle so they will  come,,,,
 Basta kumatkat. ,Stop clearing your throat. Also &kakak,,,,
 Gof katna gi painge. ,Good fishing last night,,,,
 Hu katnadayi i guihan ni satdinas siha. ,I set out bait for the  fish with sardines,,,,
 Kumakatokcha' yo' nigap. ,I was spear fishing yesterday,,,,
 Hu kattayi hao sesso. ,I often write to you,,,,
 Yanggen kayao i manglo' ta fanhanao. ,"When the wind subsides, we  will go",,,,
" Ke, munga mafaisen siha. ","Well, don't ask them",,,,
" Ke, facho'cho' ya un gaisalape'. ","So, work and you will have some  money",,,,
 Hu kedanche i bola ni panak. ,I tried to hit the ball with the  bat,,,,
 Ma na'kehalom i ga'lagu gi gima'. ,They tried to make the dog go  inside the house,,,,
 Hu na'kesaga i che'lu-hu lahi gi gima'. ,I tried to make my  brother stay at the house,,,,
 I pakyo ha na'kebra i kosecha-ku. ,The typhoon brought disaster  to my harvest,,,,
 Kebra todu i planu-hu. ,All my plans went wrong,,,,
 Manhungok yo' ni kebra. ,I heard about the disaster,,,,
 Deskareta,,,,,
 Kumeha i patgon gi ma'estro pot i bidan Jose. ,The child reported  what Joe did to the teacher,,,,
 Ha kehayi yo' gi ma'estro anai malagu yo' gi eskuela. ,He  reported me to the teacher when I ran away from school,,,,
 Ha kehayi i patgon. ,He complained about the child,,,,
 Kumekemaolek. ,It's getting good,,,,
 Pa'go hu keketutuhon i che'cho'-hu. ,I'm beginning to start my  work now,,,,
 Ki sabes hao nu enao. ,That is none of your business,,,,
 Si Maria ha kiba'i si Juan. ,Maria stuck her lips out at John to  show her dislike,,,,
 Kifan i atadok-hu anai tineñak ni ramas. ,My eye was inflamed  when a branch poked it,,,,
 Kifan i chetnot gi kannai-hu. ,My sore got worse on my hand,,,,
 Hu kilili i litratu-hu anai pumasehu yo'. ,I hand-carried my  camera when I went strolling along,,,,
 I koriente ha kilili i boti. ,The current carried the boat away  (caused it to drift),,,,
 Kimadu i hineksa' gi feggon. ,The rice was scorched on the stove,,,,
 Kimason i gima'. ,The house burned down,,,,
 Hu li'e' i kimason gi siuda. ,I saw the conflagation in the city,,,,
 Kahet ,plus -in-. , (R),,,
 Kinahulo'guan i malangu ni kalentura-ña. ,The patient's fever  suddenly rose (not being aware of it),,,,
 Kinahulo'guan hao fan. ,You became out of your mind,,,,
 Kinahulo'guan i saddok. ,The river rose suddenly,,,,
 Kinanno' i nenkanno' ni ga'lagu. ,The food was eaten up by the  dog,,,,
 Kinilak i neni. ,The baby has diarrhea,,,,
 Kinilis i pilan gi painge. ,There was an eclipse of the moon last  night,,,,
 Chule' enao i chinina kinto i katsunes. ,Bring that shirt and  also the pants,,,,
 Maolekña si Pedro kinu guiya. ,Pedro is better than he,,,,
 Dankoloña este na ga'lagu kinu ayu guatu. ,This dog is bigger  than that one,,,,
 Kisabes gue'. ,He doesn't know,,,,
 Hu klaruyi sumangani si nana-hu ni bida-hu. ,I clarified to my  mother what I had done,,,,
 Hafa na klasi ya-mu. ,What kind do you like? Este na klasi  malago'-hu. ,This is the kind I wanted,,,
 Maolek klima-ña este na odda'. ,The condition of this soil is  rich,,,,
 Ha kobra kontra i satge. ,He pinned him against the floor,,,,
 I guaka ha na'kokas i tali-ña. ,The cow entangled its rope,,,,
 Kokkolo' yo' gi lancho nigap. ,I went up to the ranch yesterday,,,,
 Kokkolo' yo' gi ladera. ,I went up to the mountain,,,,
 Ha kokoti yo' i sasata umakka'. ,The bee stung me repeatedly,,,,
 Ha kokoti umaña i ga'lagu. ,He repeatedly beat the dog,,,,
 Hu ko'lao i emfetmera. ,I took food to the nurse,,,,
 I sindalu ha kanno' i ke'lao. ,The soldier ate the food that was  brought to him,,,,
 Mannge' sumaga giya Hawaii kololo'ña yanggen meggai salape'-mu.  ,"It is fun to stay in Hawaii, especially when you have lots of  money. Also &kulolo'ña",,,,
 I primet kolumna. ,The first column,,,,
 Ti ya-hu kumombati yan amigu-hu. ,I don't want to fight with my  friend,,,,
 Kombieni na u matattiyi i planu. ,It is proper to follow the plan,,,,
 Ha kometi un dankolo na isao. ,He commited one big sin,,,,
 Komon un tungo' siha kuentusi. ,"If you know them, speak to them",,,,
 Si pale' ha na'komotgan i malangu. ,The priest let the sick  person receive communion,,,,
 Kompaile-ña si Juan. ,Juan is his compadre,,,,
 Hu kompiti hao gi huegu. ,I competed with you in the game,,,,
